的	0.208634 0.349681 -0.977273 -0.1161 -0.51015 -0.103978 -1.89238 -1.09891 -0.544916 0.3279 -0.849825 0.411298 0.00370385 -0.99036 -0.689372 0.504943 -0.546106 0.291226 -1.70211 0.286622 
了	-0.122883 -0.712105 -0.244427 -0.595306 -0.324165 -2.04704 -0.840377 1.28988 0.0734862 0.0466166 0.019238 -1.32133 -0.246031 0.143393 -1.945 0.249606 1.06689 -0.505445 -1.84438 1.3059 
是	1.43268 -0.102091 -1.60302 -0.717383 -0.782624 -0.231435 -1.68605 -0.581698 -0.297465 0.0363578 0.368173 -0.250766 2.46009 -1.16622 1.03695 0.75927 -1.36908 -0.470244 -2.4311 0.611405 
你	-1.28679 -0.128933 -3.14724 -0.129625 -1.16873 -1.41043 -0.650689 -0.64103 -0.478637 -0.241343 -2.17155 -0.384447 -0.686856 2.46409 -1.80497 -0.00961368 -1.14695 -1.29787 -2.28165 1.64455 
我	-0.31245 -0.714059 -1.8003 -1.69957 -1.8438 0.174043 -1.07217 -0.700243 0.588747 -0.554488 -1.01143 -0.78763 -0.216874 3.38983 -2.46754 -0.211128 0.82446 -1.23152 -2.21043 1.0248 
不	0.179495 0.537402 -2.97638 -0.714672 -1.30696 -1.73601 -1.65322 0.0682621 -2.36371 1.80347 0.629541 0.241634 0.248289 0.606118 -2.95277 -1.11666 -0.553417 -0.822712 -1.54501 2.93732 
就	-0.743767 -2.79679 -0.191177 -0.715727 -0.738837 -2.04986 -1.59418 0.232103 -0.975447 0.695806 -1.99838 -0.995253 -0.0132011 0.182162 -2.08624 -0.186268 -0.455996 -1.07494 -1.91596 1.84917 
在	0.964751 -1.30156 -2.48699 -1.89732 -0.684621 0.613578 -1.64511 0.977284 -0.208126 -0.211396 1.91246 0.704215 0.320287 -0.799153 0.347426 -0.81759 -1.70108 0.253446 -1.73021 1.58039 
中国	0.97814 -0.912816 -1.21578 1.59274 -0.722514 0.896317 -0.819413 -3.22111 -1.03703 -0.959014 -1.59895 0.213171 0.733373 0.713718 -0.712341 0.588597 -0.551103 -1.27719 -1.22822 -4.48422 
今天	-0.209391 -0.744342 0.900676 -1.68556 -0.400637 -0.510453 -0.12523 0.477169 -1.95042 -1.44292 -0.128683 -1.29039 1.37431 0.760858 -1.06594 1.63702 -0.566943 -0.71459 -0.708959 1.22 
都	-0.585234 -1.16717 0.0504692 -0.220029 -0.355183 -0.831066 -2.34238 -0.401634 -0.579288 1.99538 -0.830598 -0.291151 0.621532 0.250461 -0.95114 -0.0138703 0.0459103 0.258438 -2.76857 1.34026 
建筑	0.763397 -0.0607737 -1.645 1.10789 2.57613 1.17937 -0.246885 -2.00123 -1.01193 1.50088 -0.05737 -0.203708 1.16246 2.20169 -2.45053 -0.0924411 -2.93354 0.516533 0.588339 -1.14398 
吧	-1.53898 -1.33022 -1.03135 -0.324907 -1.28583 -2.13468 -0.367833 0.251057 0.731071 0.662909 -0.459453 0.205978 -0.772727 -0.168724 -1.5567 -0.773156 1.70299 0.310106 -0.98285 1.68317 
有	1.74667 0.812924 -1.6905 0.279016 -1.70366 0.805003 -1.32957 0.991898 -1.51763 -0.58995 -0.0771702 -0.449229 3.09926 -2.81437 1.00294 0.484118 -0.778412 -1.87878 -2.20292 1.48433 
买	-0.901647 -2.18202 -1.17802 0.461216 -0.897838 1.82661 -0.559552 -1.28056 0.224949 0.966529 0.92597 -4.32764 0.884301 1.59341 0.0947561 -0.573548 0.887052 -0.332453 -4.6448 1.61088 
啊	-2.51852 -0.512585 0.153613 -0.426399 -0.0527363 -1.41203 0.272459 -0.121947 0.435175 0.485785 -1.42255 0.0325854 0.251547 -0.60509 -0.555354 0.0478561 0.147884 0.631835 -2.04375 1.9035 
要	0.430894 -0.698809 -2.40277 -0.757317 -1.84538 -2.04045 -0.252427 1.00835 -0.583747 -1.26275 0.856766 -0.65002 1.91567 -1.22535 -1.25527 -0.505585 0.0902454 -0.79292 -0.634211 1.29047 
科技	2.61384 0.862875 0.992636 0.622499 2.39344 1.76668 0.854153 -3.01975 -3.20015 -2.08242 0.00670452 0.442275 0.818393 0.47185 0.32105 -0.142713 0.0108718 2.09186 0.997832 -0.19544 
跌	-1.05805 -2.50343 -1.9601 0.369683 -1.83916 -0.998961 0.729663 2.15371 -2.97977 1.16132 -1.40522 -4.39334 0.66087 2.4776 0.856887 -1.65689 -1.55173 -0.137574 -4.27917 0.625273 
股	1.82809 0.28873 0.372961 0.0364219 1.66691 -1.08304 0.77196 -1.19795 0.927763 1.69511 0.92558 -0.475273 3.17604 0.563428 -1.2434 -1.25977 -0.0234011 -0.160031 -2.3553 -0.686965 
主力	-1.28464 1.01039 -0.584336 -3.47687 0.489175 1.1266 -1.21894 2.42793 -0.249213 0.792832 -1.23513 -0.197506 0.515568 1.57376 -1.72747 1.68122 -0.415438 -0.223188 -0.00309108 0.149846 
还	-1.88815 -1.91614 0.302764 -0.42417 0.971915 -0.235691 -1.21278 0.420019 -1.19508 1.59603 -2.78533 -0.747334 -0.169399 -0.427105 -1.96904 -1.14552 -1.16395 0.0427535 -2.50399 1.67188 
涨停	-0.704263 -0.63064 0.448066 1.34157 -1.55499 0.426798 1.45067 0.159699 -1.10436 -1.89021 -1.36226 -3.38689 2.46185 1.54842 1.32764 3.02014 -0.215768 -1.35443 -0.694699 1.20945 
明天	-1.01256 -1.46755 0.789618 -0.752235 -1.95903 -0.699963 0.248704 0.908804 -2.8306 -1.20546 -0.265295 -2.03637 1.19635 0.380583 -2.12939 1.78326 -0.641989 -0.369999 0.859583 1.36229 
元	1.53915 -1.4677 -1.03815 -1.15635 -0.675539 2.7076 0.858768 -0.433636 -1.37282 -1.837 0.585315 -2.65426 -1.2528 0.594382 -3.80019 -1.25968 -2.78443 -1.3878 -2.19558 0.452149 
日	2.91449 0.93768 0.996573 0.342733 4.82816 1.15506 1.86706 -0.509232 -1.99952 -0.361916 2.00688 0.461444 0.209008 2.519 0.070843 -0.372335 -1.60128 3.36829 2.681 3.69715 
这	1.39442 1.37518 -2.47408 -0.214546 -0.426605 -1.75465 -2.57405 -0.070976 -1.39992 0.396461 -0.514139 -1.80292 -0.188609 1.6727 0.0374238 1.43014 -2.6514 3.1827 -1.82886 2.44 
大	0.0762798 1.30313 0.825835 1.10874 -0.159178 0.922871 -2.09862 0.945849 -2.0647 -1.79938 -0.49251 -0.419251 0.0152156 -3.82097 -0.492825 2.57475 0.898672 -0.268641 -1.2386 -2.92306 
吗	-1.71711 -0.0897461 -0.27854 0.514087 0.162463 -0.171749 -1.15189 -0.535377 -1.26997 0.85744 -2.6975 0.0707496 0.402842 -1.15596 -2.01266 0.0937586 -1.10159 -0.0541414 -1.24851 3.17057 
北大	0.234018 0.673377 -1.2687 1.57916 -0.74043 0.566173 0.280842 -2.6919 -0.619131 -2.60483 -2.31793 0.183571 2.81599 0.128629 -2.70113 -0.962966 1.81061 -1.79016 -1.07938 -3.34 
垃圾	0.508967 1.70412 -1.20879 0.252451 1.40738 -2.50036 -0.269837 -1.29025 -0.46321 -0.305845 -1.19092 -0.681987 1.32356 1.23118 0.0138185 -0.624267 -0.182331 2.3131 -3.8064 -0.809759 
